"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1,U2,U5";"DIP-8_W7.62mm_Socket";3;"TL071";;;
2;"CF+1,Cf-1,Cfmos1";"CP_Radial_D8.0mm_P3.50mm";3;"100μF";;;
3;"RV2,RV1";"Potentiometer_Bourns_3296W_Vertical";2;"10k";;;
4;"Cf2,Cf1";"CP_Radial_D8.0mm_P3.50mm";2;"100uF";;;
5;"Cv1";"CP_Radial_D4.0mm_P2.00mm";1;"10μF";;;
6;"Furo9,Furo5,Furo1,Furo4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"0";;;
7;"Rf+1,Rfmos1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
8;"Rsh1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10";;;
9;"Cfin2,Cfin1,Cfout1";"CP_Radial_D4.0mm_P2.00mm";3;"1μF";;;
10;"Q4";"TO-92_Inline_Wide";1;"BSS110";;;
11;"U3";"DIP-8_W7.62mm_Socket";1;"INA122";;;
12;"Furo2,Furo8,Furo3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";3;"0";;;
13;"K1,K3,K2";"Relay_SPDT_SANYOU_SRD_Series_Form_C";3;"SANYOU_SRD_Form_C";;;
14;"Q2,Q3,Q1";"TO-92_Inline_Wide";3;"2N2222";;;
15;"RQ1,RQ2,RQ3,Rfout1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"1k";;;
16;"RG1k1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"200";;;
17;"Furo7";"R_Axial_DIN0309_L9.0mm_D3.2mm_P25.40mm_Horizontal";1;"0";;;
18;"RG100";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2k";;;
19;"RG10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"40k";;;
20;"RG10k1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20";;;
21;"RLED1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"200";;;
22;"Rfin2,Rfin1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1k";;;
23;"Rp1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100k";;;
24;"Rs-2,Rf-1,Rs-1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
25;"Rs-4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1M";;;
26;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
27;"U4";"PinHeader_1x10_P2.54mm_Vertical";1;"ADS1115IDGS";;;
28;"U7";"DIP-8_W7.62mm_Socket";1;"LTC1044";;;
29;"DS1";"WC1602A";1;"WC1602A";;;
30;"J2";"PinSocket_1x02_P2.54mm_Vertical";1;"Jumper fonte";;;
31;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"Sensor HALL";;;
32;"J3";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Fonte_5V";;;
